id,card_name,display_name,card_set,card_type,effect_text,flavor_text,source_file
Reactor Monk 10TH,Reactor Monk 10TH,Reactor Monk,CotG10,Hero,Gain 2R.  The next Construct you acquire this turn costs 1R less.,,set1_anniv_cards.lua
Rocket Courier X-99 10TH,Rocket Courier X-99 10TH,Rocket Courier X-99,CotG10,Construct,"Once per turn, when you acquire another Mechana Construct, you may put it directly into play.",,set1_anniv_cards.lua
The Grand Design 10TH,The Grand Design 10TH,The Grand Design,CotG10,Construct,"Once per turn, gain 2R.  You may spend it only to acquire Mechana Constructs.",,set1_anniv_cards.lua
Watchmaker's Altar 10TH,Watchmaker's Altar 10TH,Watchmaker's Altar,CotG10,Construct,"Once per turn, gain 1R.  You may spend it only to acquire Mechana Constructs.",,set1_anniv_cards.lua
Arbiter of the Precipice 10TH,Arbiter of the Precipice 10TH,Arbiter of the Precipice,CotG10,Hero,Draw two cards.  Then banish any card in your hand.,,set1_anniv_cards.lua
Demon Slayer 10TH,Demon Slayer 10TH,Demon Slayer,CotG10,Hero,Gain 3P.,,set1_anniv_cards.lua
"Emri, One with the Void 10TH","Emri, One with the Void 10TH","Emri, One with the Void",CotG10,Hero,Gain 4P.,,set1_anniv_cards.lua
Muramasa 10TH,Muramasa 10TH,Muramasa,CotG10,Construct,"Once per turn, gain 3P.",,set1_anniv_cards.lua
Shade of the Black Watch 10TH,Shade of the Black Watch 10TH,Shade of the Black Watch,CotG10,Hero,Gain 2P.  You may banish a card in your hand or discard pile.,,set1_anniv_cards.lua
Shadow Star 10TH,Shadow Star 10TH,Shadow Star,CotG10,Construct,"Once per turn, gain 1P.",,set1_anniv_cards.lua
Spike Vixen 10TH,Spike Vixen 10TH,Spike Vixen,CotG10,Hero,Gain 1P.  Draw a card.,,set1_anniv_cards.lua
Void Initiate 10TH,Void Initiate 10TH,Void Initiate,CotG10,Hero,Gain 1R.  You may banish a card in your hand or discard pile.,,set1_anniv_cards.lua
Voidthirster 10TH,Voidthirster 10TH,Voidthirster,CotG10,Construct,"Once per turn, gain 1P.  The first time you defeat a Monster in the center row each turn, gain 1H.",,set1_anniv_cards.lua
Avatar of the Fallen 10TH,Avatar of the Fallen 10TH,Avatar of the Fallen,CotG10,Monster,"This Monster can't be banished unless defeated.
Reward: Gain 4H.  Acquire or Defeat any other card in the center row.",,set1_anniv_cards.lua
Corrosive Widow 10TH,Corrosive Widow 10TH,Corrosive Widow,CotG10,Monster,Reward: Gain 3H.  Each opponent must put a Construct he controls into his discard pile.,,set1_anniv_cards.lua
Earth Tyrant 10TH,Earth Tyrant 10TH,Earth Tyrant,CotG10,Monster,Reward: Gain 5H.  Draw two cards.,,set1_anniv_cards.lua
Mephit 10TH,Mephit 10TH,Mephit,CotG10,Monster,Reward: Gain 2H.  You may banish a card in the center row.,,set1_anniv_cards.lua
Mistake of Creation 10TH,Mistake of Creation 10TH,Mistake of Creation,CotG10,Monster,Reward: Gain 4H.  You may banish a card in the center row and/or a card in your discard pile.,,set1_anniv_cards.lua
Samael's Trickster 10TH,Samael's Trickster 10TH,Samael's Trickster,CotG10,Monster,Reward: Gain 1H.  Gain 1R.,,set1_anniv_cards.lua
Sea Tyrant 10TH,Sea Tyrant 10TH,Sea Tyrant,CotG10,Monster,Reward: Gain 5H.  Each opponent must choose a Construct they control and put the rest into their discard pile.,,set1_anniv_cards.lua
Tormented Soul 10TH,Tormented Soul 10TH,Tormented Soul,CotG10,Monster,Reward: Gain 1H.  Draw a card.,,set1_anniv_cards.lua
Wind Tyrant 10TH,Wind Tyrant 10TH,Wind Tyrant,CotG10,Monster,Reward: Gain 3H.  Gain 3R.,,set1_anniv_cards.lua
"Xeron, Duke of Lies 10TH","Xeron, Duke of Lies 10TH","Xeron, Duke of Lies",CotG10,Monster,Reward: Gain 3H.  Take a card at random from each opponent's hand and add that card to your hand.,,set1_anniv_cards.lua
Militia,Militia,Militia,,Hero,Gain 1P.,,set1_cards.lua
Apprentice,Apprentice,Apprentice,,Hero,Gain 1R.,,set1_cards.lua
Mystic,Mystic,Mystic,,Hero,Gain 2R.,,set1_cards.lua
Heavy Infantry,Heavy Infantry,Heavy Infantry,,Hero,Gain 2P.,,set1_cards.lua
Cultist,Cultist,Cultist,,Monster,Reward: Gain 1H.,,set1_cards.lua
Arha Initiate,Arha Initiate,Arha Initiate,CotG,Hero,Draw a card.,,set1_cards.lua
Arha Templar,Arha Templar,Arha Templar,CotG,Hero,Defeat a Monster that has P4 or less.,,set1_cards.lua
Ascetic of the Lidless Eye,Ascetic of the Lidless Eye,Ascetic of the Lidless Eye,CotG,Hero,Draw two cards.,,set1_cards.lua
Master Dhartha,Master Dhartha,Master Dhartha,CotG,Hero,Draw three cards.,,set1_cards.lua
Oziah the Peerless,Oziah the Peerless,Oziah the Peerless,CotG,Hero,Defeat a Monster that has P6 or less.,,set1_cards.lua
Seer of the Forked Path,Seer of the Forked Path,Seer of the Forked Path,CotG,Hero,Draw a card.  Then you may banish a card in the center row.,,set1_cards.lua
Tablet of Time's Dawn,Tablet of Time's Dawn,Tablet of Time's Dawn,CotG,Construct,Banish this Construct to take an additional turn after this one.,,set1_cards.lua
Temple Librarian,Temple Librarian,Temple Librarian,CotG,Hero,"Discard a card.  If you do, draw two cards.",,set1_cards.lua
The All-Seeing Eye,The All-Seeing Eye,The All-Seeing Eye,CotG,Construct,"Once per turn, you may draw a card.",,set1_cards.lua
Twofold Askara,Twofold Askara,Twofold Askara,CotG,Hero,Copy the effect of a Hero played this turn.,,set1_cards.lua
"Cetra, Weaver of Stars","Cetra, Weaver of Stars","Cetra, Weaver of Stars",CotG,Hero,Acquire any Hero.  Place it on top of your deck.,,set1_cards.lua
Druids of the Stone Circle,Druids of the Stone Circle,Druids of the Stone Circle,CotG,Hero,Acquire a Hero that costs R3 or less.  Place it on top of your deck.,,set1_cards.lua
Flytrap Witch,Flytrap Witch,Flytrap Witch,CotG,Hero,Gain 2H.  Draw a card.,,set1_cards.lua
Landtalker,Landtalker,Landtalker,CotG,Hero,Gain 3R.,,set1_cards.lua
Lifebound Initiate,Lifebound Initiate,Lifebound Initiate,CotG,Hero,Gain 1R and 1H.,,set1_cards.lua
Runic Lycanthrope,Runic Lycanthrope,Runic Lycanthrope,CotG,Hero,"Gain 2R.  If you've played a Lifebound Hero this turn, gain 2P.",,set1_cards.lua
Snapdragon,Snapdragon,Snapdragon,CotG,Construct,"Once per turn, gain 1R.  The first time you play a Lifebound Hero each turn, gain 1H.",,set1_cards.lua
Wolf Shaman,Wolf Shaman,Wolf Shaman,CotG,Hero,Gain 1R.  Draw a card.,,set1_cards.lua
Yggdrasil Staff,Yggdrasil Staff,Yggdrasil Staff,CotG,Construct,"Once per turn, gain 1P.
Once per turn, you may spend 4R to gain 3H.",,set1_cards.lua
Avatar Golem,Avatar Golem,Avatar Golem,CotG,Hero,Gain 2P.  Gain 1H for each type of Construct you control.,,set1_cards.lua
Burrower Mark II,Burrower Mark II,Burrower Mark II,CotG,Construct,Draw a card the first time you put a Mechana construct into play each turn (including this one).,,set1_cards.lua
Hedron Cannon,Hedron Cannon,Hedron Cannon,CotG,Construct,"Once per turn, gain 1P for each Mechana Construct you control.",,set1_cards.lua
Hedron Link Device,Hedron Link Device,Hedron Link Device,CotG,Construct,You may treat all Constructs as Mechana Constructs.,,set1_cards.lua
"Kor, the Ferromancer","Kor, the Ferromancer","Kor, the Ferromancer",CotG,Hero,Gain 2P.  Draw a card if you control 2 or more Constructs.,,set1_cards.lua
Mechana Initiate,Mechana Initiate,Mechana Initiate,CotG,Hero,Gain 1R or 1P.,,set1_cards.lua
Reactor Monk,Reactor Monk,Reactor Monk,CotG,Hero,Gain 2R.  The next Construct you acquire this turn costs 1R less.,,set1_cards.lua
Rocket Courier X-99,Rocket Courier X-99,Rocket Courier X-99,CotG,Construct,"Once per turn, when you acquire another Mechana Construct, you may put it directly into play.",,set1_cards.lua
The Grand Design,The Grand Design,The Grand Design,CotG,Construct,"Once per turn, gain 2R.  You may spend it only to acquire Mechana Constructs.",,set1_cards.lua
Watchmaker's Altar,Watchmaker's Altar,Watchmaker's Altar,CotG,Construct,"Once per turn, gain 1R.  You may spend it only to acquire a Mechana Construct.",,set1_cards.lua
Arbiter of the Precipice,Arbiter of the Precipice,Arbiter of the Precipice,CotG,Hero,Draw two cards.  Then banish any card in your hand.,,set1_cards.lua
Demon Slayer,Demon Slayer,Demon Slayer,CotG,Hero,Gain 3P.,,set1_cards.lua
"Emri, One with the Void","Emri, One with the Void","Emri, One with the Void",CotG,Hero,Gain 4P.,,set1_cards.lua
Muramasa,Muramasa,Muramasa,CotG,Construct,"Once per turn, gain 3P.",,set1_cards.lua
Shade of the Black Watch,Shade of the Black Watch,Shade of the Black Watch,CotG,Hero,Gain 2P.  You may banish a card in your hand or discard pile.,,set1_cards.lua
Shadow Star,Shadow Star,Shadow Star,CotG,Construct,"Once per turn, gain 1P.",,set1_cards.lua
Spike Vixen,Spike Vixen,Spike Vixen,CotG,Hero,Gain 1P.  Draw a card.,,set1_cards.lua
Void Initiate,Void Initiate,Void Initiate,CotG,Hero,Gain 1R.  You may banish a card in your hand or discard pile.,,set1_cards.lua
Voidthirster,Voidthirster,Voidthirster,CotG,Construct,"Once per turn, gain 1P.  The first time you defeat a Monster in the center row each turn, gain 1H.",,set1_cards.lua
Avatar of the Fallen,Avatar of the Fallen,Avatar of the Fallen,CotG,Monster,"This Monster can't be banished unless defeated.
Reward: Gain 4H.  Acquire or Defeat any other card in the center row.",,set1_cards.lua
Corrosive Widow,Corrosive Widow,Corrosive Widow,CotG,Monster,Reward: Gain 3H.  Each opponent must put a Construct he controls into his discard pile.,,set1_cards.lua
Earth Tyrant,Earth Tyrant,Earth Tyrant,CotG,Monster,Reward: Gain 5H.  Draw two cards.,,set1_cards.lua
Mephit,Mephit,Mephit,CotG,Monster,Reward: Gain 2H.  You may banish a card in the center row.,,set1_cards.lua
Mistake of Creation,Mistake of Creation,Mistake of Creation,CotG,Monster,Reward: Gain 4H.  You may banish a card in the center row and/or a card in your discard pile.,,set1_cards.lua
Samael's Trickster,Samael's Trickster,Samael's Trickster,CotG,Monster,Reward: Gain 1H.  Gain 1R.,,set1_cards.lua
Sea Tyrant,Sea Tyrant,Sea Tyrant,CotG,Monster,Reward: Gain 5H.  Each opponent must choose a Construct they control and put the rest into their discard pile.,,set1_cards.lua
Tormented Soul,Tormented Soul,Tormented Soul,CotG,Monster,Reward: Gain 1H.  Draw a card.,,set1_cards.lua
Wind Tyrant,Wind Tyrant,Wind Tyrant,CotG,Monster,Reward: Gain 3H.  Gain 3R.,,set1_cards.lua
"Xeron, Duke of Lies","Xeron, Duke of Lies","Xeron, Duke of Lies",CotG,Monster,Reward: Gain 3H.  Take a card at random from each opponent's hand and add that card to your hand.,,set1_cards.lua
Adayu the Omnipotent,Adayu the Omnipotent,"Adayu, the Chosen",RotF,Hero,Acquire or defeat any card in the center row.  (You do not have to pay Runes or Power).,,set2_cards.lua
Arha Sensei,Arha Sensei,Arha Sensei,RotF,Hero,"Banish a card in your hand.  If you do, acquire a Mystic or Heavy Infantry.  Add it to your hand.",,set2_cards.lua
Askara of Fate,Askara of Fate,Askara of Fate,RotF,Hero,"FATE: When this enters the center row, each player may draw a card.
Draw two cards.  Each other player may draw a card.  Then you may banish a card in the center row.",,set2_cards.lua
Dhartha's Retreat,Dhartha's Retreat,Dhartha's Retreat,RotF,Construct,"If you do not acquire or defeat a card on your turn, you may draw two additional cards at the end of your turn.",,set2_cards.lua
Eternal Askara,Eternal Askara,Eternal Askara,RotF,Hero,"Banish a card in the center row.   If you banish a monster this way, gain 3H.",,set2_cards.lua
Hectic Scribe,Hectic Scribe,Hectic Scribe,RotF,Hero,"Draw two cards, then discard two cards.",,set2_cards.lua
"Nairi, Henge Queen","Nairi, Henge Queen","Nairi, Henge Queen",RotF,Hero,Gain 5H.,,set2_cards.lua
Dandelion Witch,Dandelion Witch,Dandelion Witch,RotF,Hero,Draw a card.  Gain 1H for each Lifebound Hero you play or have played this turn (including this one).,,set2_cards.lua
Great-Omen Raven,Great-Omen Raven,Great-Omen Raven,RotF,Hero,"Name a card.  Reveal the top card of your deck and put it into your hand.  If it is the named card, gain 3H.",,set2_cards.lua
Lunar Stag,Lunar Stag,Lunar Stag,RotF,Hero,Gain 2R or 2H.,,set2_cards.lua
Serpentcall,Serpentcall,Serpentcall,RotF,Construct,"Once per turn, gain 2R.
Once per turn, you may acquire a hero from the Void by paying its Rune cost.",,set2_cards.lua
Stone Circle,Stone Circle,Stone Circle,,Construct,"Once per turn, you may reveal the top card of your deck.  If it's a Lifebound Hero, draw it.
Once per turn, you may spend 2R to gain 1H.",,set2_cards.lua
Stone Circle,Stone Circle,Stone Circle,RotF,Construct,"FATE: When this enters the center row, each player may acquire a Mystic.  Put it on top of their deck.
Once per turn, when you acquire a Hero, you may put it on top of your deck.",,set2_cards.lua
Project Alpha,Project Alpha,Project Alpha,RotF,Construct,"Once per turn, you may acquire a Hero or Construct with cost less than or equal to the number of Mechana Constructs you control.",,set2_cards.lua
Dimension Diver,Dimension Diver,Dimension Diver,RotF,Hero,Gain 2R.  You may treat all Constructs as Mechana Constructs this turn.,,set2_cards.lua
Combustion Idol,Combustion Idol,Combustion Idol,RotF,Construct,"Once per turn, you may draw a card if you control three or more Mechana Constructs.",,set2_cards.lua
Battery Monk,Battery Monk,Battery Monk,RotF,Hero,You may pay 1R less the next time you acquire a Construct this turn.  Draw a card.,,set2_cards.lua
Reclamax,Reclamax,Reclamax,RotF,Construct,"FATE: When this enters the center row, each player may choose a Construct in their discard pile and put it in their hand.
",,set2_cards.lua
Socket Altar,Socket Altar,Socket Altar,RotF,Construct,"Once per turn, when you put a Mechana Construct into play (including this one), gain 2R.",,set2_cards.lua
Ferromancer's Helper,Ferromancer's Helper,Ferromancer's Helper,,Hero,"Gain 2R.  You may put a Construct you control into your discard pile.  If you do, gain 2P.",,set2_cards.lua
Arbiter of Fate,Arbiter of Fate,Arbiter of Fate,RotF,Hero,"FATE: When this enters the center row, each player may banish a card from their hand or discard pile.
Draw a card. You may banish a card in your hand or discard pile.",,set2_cards.lua
Guardian of Sadranis,Guardian of Sadranis,Guardian of Sadranis,RotF,Hero,"Gain 1P. The next time you defeat a Monster in the center row or the Void this turn, gain 2H.",,set2_cards.lua
Black Hole,Black Hole,Black Hole,RotF,Construct,"Once per turn, you may banish a card in your hand.  If you do, gain 1P.",,set2_cards.lua
Deathseeker,Deathseeker,Deathseeker,RotF,Hero,"Gain 2P.  If this is banished from your hand or discard pile, gain 3H.",,set2_cards.lua
"Sadranis, Dark Emissary","Sadranis, Dark Emissary","Sadranis, Dark Emissary",RotF,Hero,Gain 3P. You may defeat a Monster from the Void by paying its Power cost. Put it on the bottom of the center deck.,,set2_cards.lua
Black Watch Elite,Black Watch Elite,Black Watch Elite,RotF,Hero,Gain 3P.  You may banish a card in your hand or discard pile.,,set2_cards.lua
"Bazu, Duke of Scorn","Bazu, Duke of Scorn","Bazu, Duke of Scorn",RotF,Monster,Reward: Gain 4H.  Each opponent either discards a card for each Construct they control or puts all Constructs into their discard pile.,,set2_cards.lua
Doom Weeper,Doom Weeper,Doom Weeper,RotF,Monster,Reward: Gain 2H.  Gain 2R.,,set2_cards.lua
Fire Tyrant,Fire Tyrant,Fire Tyrant,RotF,Monster,Reward: Gain 6H.  Each opponent must discard a card.,,set2_cards.lua
Ravenous Gorph,Ravenous Gorph,Ravenous Gorph,RotF,Monster,"FATE: When this enters the center row, banish all cards adjacent to it.
Reward: Gain 3H. You may banish a card that was adjacent to this.",,set2_cards.lua
Samael the Fallen,Samael the Fallen,Samael the Fallen,RotF,Monster,"Unbanishable.
Reward: Gain 8H.  Place this face up in front of you.  For the rest of the game, when you defeat a Monster in the center row, acquire it.  Monsters in your deck are considered Heroes that gain you Power equal to their cost.",,set2_cards.lua
Sordid Asp,Sordid Asp,Sordid Asp,RotF,Monster,"Reward: Gain 1H, then steal 2H from an opponent with the most Honor if they have more than you.",,set2_cards.lua
Vaultbreaker Wurm,Vaultbreaker Wurm,Vaultbreaker Wurm,RotF,Monster,Reward: Gain 4H.  Each other player must discard their highest cost Construct. (They choose in case of a tie).,,set2_cards.lua
Militia SoS,Militia SoS,Militia,,Hero,Gain 1P.,,set3_cards.lua
Apprentice SoS,Apprentice SoS,Apprentice,,Hero,Gain 1R.,,set3_cards.lua
Mystic SoS,Mystic SoS,Mystic,,Hero,Gain 2R.,,set3_cards.lua
Heavy Infantry SoS,Heavy Infantry SoS,Heavy Infantry,,Hero,Gain 2P.,,set3_cards.lua
Cultist SoS,Cultist SoS,Cultist,,Monster,Reward: Gain 1H.,,set3_cards.lua
Fanatic SoS,Fanatic SoS,Fanatic,SoS,Monster,"Reward: Gain 2H.
",,set3_cards.lua
Arha Rising,Arha Rising,Arha Rising,SoS,Event,"Once per turn, when a player discards any number of cards, they may return one of them to their hand.
",,set3_cards.lua
Dreamer's Glass,Dreamer's Glass,Dreamer's Glass,SoS,Construct,"Once per turn, you may put a card from your hand under this face up.
",,set3_cards.lua
Tower Askara,Tower Askara,Tower Askara,SoS,Hero,"Draw 3 cards.  Then, discard 2 cards or an Enlightened card.",,set3_cards.lua
"Raj, Psionic Master","Raj, Psionic Master","Raj, Psionic Master",SoS,Hero,"Banish a Hero from your hand.
",,set3_cards.lua
Eye of Destiny,Eye of Destiny,Eye of Destiny,SoS,Construct,"Once per turn, when you acquire a Hero, you may put it into your hand.",,set3_cards.lua
Elder Skeptic,Elder Skeptic,Elder Skeptic,SoS,Hero,"Draw 2 cards.  Then, discard a card.",,set3_cards.lua
Elemental Adept,Elemental Adept,Elemental Adept,SoS,Hero,"Draw a card.
",,set3_cards.lua
Nook Hound,Nook Hound,Nook Hound,SoS,Hero,"FATE: When this enters the center row, each player may look at the top card of their deck.  They may put it into their discard pile.",,set3_cards.lua
Prodigal,Prodigal,Prodigal,SoS,Hero,Defeat a monster with P3 or less.,,set3_cards.lua
Treasures of the Study,Treasures of the Study,Treasures of the Study,SoS,Construct,"Once per turn, you may discard 2 cards.  If you do, gain 3H.",,set3_cards.lua
Ogo Rising,Ogo Rising,Ogo Rising,SoS,Event,"The first Hero played this turn is also a Lifebound Hero.
",,set3_cards.lua
Starchild,Starchild,Starchild,SoS,Hero,"Gain 1R and 1H.  Then, draw a card.",,set3_cards.lua
Granger,Granger,Granger,SoS,Hero,Gain 1R and 1H.  UNITE: Gain 1R and 1H.,,set3_cards.lua
"Syril, Runic Alpha","Syril, Runic Alpha","Syril, Runic Alpha",SoS,Hero,Gain 3R.  UNITE: Gain 3P.,,set3_cards.lua
Lionheart,Lionheart,Lionheart,SoS,Hero,Gain 3H.  UNITE: Draw a card.,,set3_cards.lua
Everbloom,Everbloom,Everbloom,SoS,Construct,"Once per turn, gain 1 Honor.",,set3_cards.lua
Snake Shaman,Snake Shaman,Snake Shaman,SoS,Hero,"Gain 1R.  If the Current Event is Lifebound, gain an additional 1R.
",,set3_cards.lua
Honey Siren,Honey Siren,Honey Siren,SoS,Hero,"FATE: When Honey Siren enters the center row, each player may put a Hero from their discard pile on top of their deck.
",,set3_cards.lua
Avatar of Aiyana,Avatar of Aiyana,Avatar of Aiyana,SoS,Hero,"Gain 2R.
",,set3_cards.lua
Aiyana's Messenger,Aiyana's Messenger,Aiyana's Messenger,SoS,Hero,Gain 1R.  You may pay 1 less Rune the next time you aquire a Hero this turn.,,set3_cards.lua
Hedron Rising,Hedron Rising,Hedron Rising,SoS,Event,"All Constructs are also Mechana Constructs.
",,set3_cards.lua
Weapon 303-V,Weapon 303-V,Weapon 303-V,SoS,Construct,"Once per turn, when you play a Mechana Construct (including this one), you gain 3P.",,set3_cards.lua
Scrap Flinger,Scrap Flinger,Scrap Flinger,SoS,Hero,"Gain 2P.  You may destroy a Construct you control.  If you do, gain an additional 2P.",,set3_cards.lua
Dream Machine,Dream Machine,Dream Machine,SoS,Construct,"FATE: When Dream Machine enters the center row, each player may return a Construct they control to their hand.
",,set3_cards.lua
Brazer Drone,Brazer Drone,Brazer Drone,SoS,Hero,Gain 1R.  You may return a Construct from your discard pile to your hand.,,set3_cards.lua
Autobuilder 5.0,Autobuilder 5.0,Autobuilder 5.0,SoS,Construct,You may destroy this to pay 2R less the next time you acquire a Mechana Construct this turn.,,set3_cards.lua
P.R.I.M.E.,P.R.I.M.E.,P.R.I.M.E.,SoS,Hero,"Gain 3R or acquire a Construct in the center row.
",,set3_cards.lua
Personal Wormhole,Personal Wormhole,Personal Wormhole,SoS,Construct,"Once per turn, when you play a Mechana Construct (including this one), you may banish a card in your hand or discard pile.",,set3_cards.lua
Cog Maw,Cog Maw,Cog Maw,SoS,Construct,"Once per turn, you may destroy a Mechana Construct you control to gain 1R.
",,set3_cards.lua
Synchronizer,Synchronizer,Synchronizer,SoS,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain 1R.",,set3_cards.lua
Grease Monk,Grease Monk,Grease Monk,SoS,Hero,Gain 1R.  You may pay 1 Rune less the next time you acquire a Construct this turn.,,set3_cards.lua
Void Rising,Void Rising,Void Rising,SoS,Event,"Once per turn, when a player defeats a Monster in the Center Row, that player gains 1H.
",,set3_cards.lua
Void Militia,Void Militia,Void Militia,SoS,Hero,Gain 1P.  You may pay 1 Power less the next time you defeat a Monster in the center row this turn.,,set3_cards.lua
Abolisher,Abolisher,Abolisher,SoS,Hero,"Gain 1R.  You may banish a card in you hand; if you do, gain an additional 1R.",,set3_cards.lua
Nihilmancer,Nihilmancer,Nihilmancer,SoS,Hero,"Gain 2P.  You may banish a card in you hand; if you do, gain an additional 1P.",,set3_cards.lua
Canopic Jar,Canopic Jar,Canopic Jar,SoS,Construct,"Once per turn, gain 1P.
Once per turn, when you defeat a Monster in the center row, gain 1R.",,set3_cards.lua
Soul Assassin,Soul Assassin,Soul Assassin,SoS,Hero,"Gain 2P. The next time you defeat a Monster in the center row, gain 2R.",,set3_cards.lua
Shadowcaster,Shadowcaster,Shadowcaster,SoS,Hero,"Draw a card.
You may banish a card from your hand; if you do, you may draw an additional 1 card.
",,set3_cards.lua
Penumbral Edge,Penumbral Edge,Penumbral Edge,SoS,Construct,"Once per turn, gain 2P.  Gain an additional 2P if you control Umbral Edge.",,set3_cards.lua
Umbral Edge,Umbral Edge,Umbral Edge,SoS,Construct,"Once per turn, gain 2P.  Gain an additional 2P if you control Penumbral Edge.",,set3_cards.lua
"Emri, Soulslayer","Emri, Soulslayer","Emri, Soulslayer",SoS,Hero,"FATE: Each player may banish 2 cards from their hand and/or discard pile.
",,set3_cards.lua
Rise of the Cult,Rise of the Cult,Rise of the Cult,SoS,Event,"Cultists and Fanatics have +1P and their rewards have +1P.
",,set3_cards.lua
Unchained Fates,Unchained Fates,Unchained Fates,SoS,Monster,Reward: 5H.  TROPHY: Draw 2 cards.,,set3_cards.lua
Minotaur,Minotaur,Minotaur,SoS,Monster,Reward: 3H.  TROPHY: Draw 1 card.,,set3_cards.lua
Hoarding Whelp,Hoarding Whelp,Hoarding Whelp,SoS,Monster,Reward: 2H.  TROPHY: Gain 1P.,,set3_cards.lua
Hoarding Tyrant,Hoarding Tyrant,Hoarding Tyrant,SoS,Monster,Reward: 4H.  TROPHY: Gain 2R.,,set3_cards.lua
Fettered Soul,Fettered Soul,Fettered Soul,SoS,Monster,Reward: Gain 2H.  You may banish a card in the center row.,,set3_cards.lua
Vandal Soul,Vandal Soul,Vandal Soul,SoS,Monster,Reward: 3H.  Each opponent destroys the lowest cost construct they control.,,set3_cards.lua
Polaris Demon,Polaris Demon,Polaris Demon,SoS,Monster,"Reward: 5H.  Choose one:
",,set3_cards.lua
Nemesis,Nemesis,Nemesis,SoS,Monster,"FATE: Banish the current event.
",,set3_cards.lua
"Tarik, the Trickster","Tarik, the Trickster","Tarik, the Trickster",SoS,Monster,Reward: 5H.  You may choose a Hero in the center row and copy its effect.,,set3_cards.lua
Noxious Soul,Noxious Soul,Noxious Soul,SoS,Monster,Reward: 4H.  Each opponent must discard a card at random from their hand.,,set3_cards.lua
Moment of Clarity,Moment of Clarity,Moment of Clarity,IH,Event,"When a player acquires an Enlightened card, that player may draw a card.
",,set4_cards.lua
"Aaron, the Godslayer","Aaron, the Godslayer","Aaron, the Godslayer",IH,Hero,Defeat a Monster without paying its cost.,,set4_cards.lua
Arha Medium,Arha Medium,Arha Medium,IH,Hero,You may banish this to acquire a Mystic or Heavy Infantry without paying its cost.  Put it into your hand.,,set4_cards.lua
Askara of Souls,Askara of Souls,Askara of Souls,IH,Hero,Gain a Soul Gem.,,set4_cards.lua
"Elan, Soul Marshal","Elan, Soul Marshal","Elan, Soul Marshal",IH,Hero,Gain a Soul Gem.  Draw a card.,,set4_cards.lua
Temple Guardian,Temple Guardian,Temple Guardian,IH,Hero,"Defeat a Monster with P5 or less without paying its cost.
",,set4_cards.lua
Wandering Askara,Wandering Askara,Wandering Askara,IH,Hero,"Draw a card, then you may banish a card in the center row.
",,set4_cards.lua
The Great Eclipse,The Great Eclipse,The Great Eclipse,IH,Event,"When a player acquires a Lifebound Hero, that player may put it on top of their deck.
",,set4_cards.lua
"Sabre, the Moonlit","Sabre, the Moonlit","Sabre, the Moonlit",IH,Hero,"Gain 1R. Gain 1P. Gain 1H. Draw a card. 
",,set4_cards.lua
Spider Witch,Spider Witch,Spider Witch,IH,Hero,Gain 2H.  UNITE: Gain a Soul Gem.,,set4_cards.lua
Stone Circle Elder,Stone Circle Elder,Stone Circle Elder,IH,Hero,"Acquire a Hero that costs R5 or less without paying its cost.  Put it on top of your deck.
",,set4_cards.lua
Wolf Acolyte,Wolf Acolyte,Wolf Acolyte,IH,Hero,Gain 1R.  UNITE: Draw a card.,,set4_cards.lua
Beast Staff,Beast Staff,Beast Staff,IH,Construct,"Once per turn, gain 1P.
",,set4_cards.lua
The World Tree,The World Tree,The World Tree,IH,Construct,"Once per turn, you may pay up to 5R to gain that much H. 
",,set4_cards.lua
Cosmic Protocol,Cosmic Protocol,Cosmic Protocol,IH,Event,"When a player acquires a Mechana Construct, that player may put it directly into play.
",,set4_cards.lua
Energy Monk,Energy Monk,Energy Monk,IH,Hero,Gain 2P.  You may return a Construct you control to your hand.,,set4_cards.lua
Hedron Pyromaniac,Hedron Pyromaniac,Hedron Pyromaniac,IH,Hero,Gain 2R.  You may destroy a Construct you control to gain a Soul Gem.,,set4_cards.lua
Astroblade TRX,Astroblade TRX,Astroblade TRX,IH,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain 1H.",,set4_cards.lua
Driller Mark IV,Driller Mark IV,Driller Mark IV,IH,Construct,"Once per turn, when you play a Mechana Construct (including this one), gain a Soul Gem.",,set4_cards.lua
Recyclicrab,Recyclicrab,Recyclicrab,IH,Construct,"When you play a Mechana Construct, if this is in your discard pile you may return it to your hand.",,set4_cards.lua
Repurposer,Repurposer,Repurposer,IH,Construct,"Once per turn, when you play a Mechana Construct (including this one), ",,set4_cards.lua
Spark Sprayer,Spark Sprayer,Spark Sprayer,IH,Construct,"Once per turn, you may destroy a Mechana Construct you control to gain 1P.
",,set4_cards.lua
Annihilation,Annihilation,Annihilation,IH,Event,"When a player acquires a Void card, that player may banish a card in their hand or discard pile.
",,set4_cards.lua
"Belthar, Soul Collector","Belthar, Soul Collector","Belthar, Soul Collector",IH,Hero,"Gain 3P. The next time you defeat a Monster in the center row this turn, gain 3R.",,set4_cards.lua
Deathsworn Warrior,Deathsworn Warrior,Deathsworn Warrior,IH,Hero,"FATE: Each player may banish a card from their hand or discard pile.
",,set4_cards.lua
Soulshaper,Soulshaper,Soulshaper,IH,Hero,"You may banish this or another card in your hand. 
",,set4_cards.lua
